#SCU1.ForceA.Engineering value [kN],SCU1.Encoder.Engineering value [mm],Design,Direction,Displacement Rate
-0.0097915232,-0.00077056885,A,X,0.1
0.0096924007,-0.00080299377,A,X,0.1
-0.010773569,-0.00071144104,A,X,0.1
0.0081987083,-0.00082015991,A,X,0.1
-0.0098752081,-0.00096511841,A,X,0.1
0.007389158,-0.00090408325,A,X,0.1
0.0021525919,-0.00082397461,A,X,0.1
0.0030217469,-0.00098991394,A,X,0.1
-0.0038833916,-0.00092506409,A,X,0.1
0.0071638525,-3.24E-05,A,X,0.1
-0.0094341338,9.54E-06,A,X,0.1
0.0053547323,0.00045013428,A,X,0.1
-0.01177755,-0.00012207031,A,X,0.1
0.0076450408,-0.00040054321,A,X,0.1
-0.010198742,-0.0015945435,A,X,0.1
0.0045427382,-0.00088310242,A,X,0.1
-0.0077113807,-0.00036811829,A,X,0.1
0.0012525022,0.00025367737,A,X,0.1
-0.0073540509,-0.00028038025,A,X,0.1
0.0069425404,-0.0010299683,A,X,0.1
-0.013451666,-0.00039482117,A,X,0.1
0.0036691129,-0.0010414124,A,X,0.1
-0.0072710216,-0.0010185242,A,X,0.1
0.0089799464,-0.00041389465,A,X,0.1
-0.0073511302,-0.00019264221,A,X,0.1
0.0082546175,-0.0002746582,A,X,0.1
-0.0011453927,-0.00075531006,A,X,0.1
0.0064646304,7.44E-05,A,X,0.1
0.0040343702,-0.00073814392,A,X,0.1
0.014205545,-0.00058364868,A,X,0.1
-0.01014176,-0.0022907257,A,X,0.1
0.009101063,0.00051498413,A,X,0.1
-0.001816541,0.0001449585,A,X,0.1
0.0016375482,-0.00052070618,A,X,0.1
-0.0053575933,-0.001663208,A,X,0.1
0.0029453933,-0.00080299377,A,X,0.1
-0.0024058521,-0.0019378662,A,X,0.1
-0.00023820996,-0.00081253052,A,X,0.1
-0.0026444495,-0.00042724609,A,X,0.1
0.0039490163,-0.0011920929,A,X,0.1
-0.0042188466,-0.00073051453,A,X,0.1
0.004966408,-1.14E-05,A,X,0.1
-0.0034257472,-0.00016021729,A,X,0.1
0.0014936626,0.00049972534,A,X,0.1
0.0052359998,6.48E-05,A,X,0.1
0.0046158135,-0.0013046265,A,X,0.1
-0.0042237341,-0.001493454,A,X,0.1
0.011283964,-0.0011348724,A,X,0.1
-0.0069298446,-0.00039482117,A,X,0.1
0.002104789,-0.00010299683,A,X,0.1
0.0015262067,-0.00065612793,A,X,0.1
-0.00088998675,0.0011539459,A,X,0.1
-0.0029598176,-0.00057411194,A,X,0.1
0.0041734874,8.96E-05,A,X,0.1
0.0069601834,-0.0006980896,A,X,0.1
-0.0058878362,-0.00043487549,A,X,0.1
-0.0049768984,-0.0012512207,A,X,0.1
0.0061663687,0.0012722015,A,X,0.1
-0.0025949776,-0.0010643005,A,X,0.1
-0.0051118433,-0.00064659119,A,X,0.1
-0.0039925873,5.91E-05,A,X,0.1
-1.24E-05,-0.0016937256,A,X,0.1
-0.0087873042,0.00026130676,A,X,0.1
-0.0088966787,6.87E-05,A,X,0.1
-0.00092765689,-0.00069999695,A,X,0.1
-0.0078659356,-0.0010299683,A,X,0.1
-0.0023747385,0.00036239624,A,X,0.1
0.001629442,-0.00057411194,A,X,0.1
0.0059793293,-0.00032806396,A,X,0.1
0.0026535094,-0.00087738037,A,X,0.1
0.0087964833,-0.00045776367,A,X,0.1
-0.0048955977,0.00026893616,A,X,0.1
-0.0043951571,-0.00013160706,A,X,0.1
-0.0013220012,-0.0008392334,A,X,0.1
0.00087031722,-0.0012493134,A,X,0.1
