Force,Displacement,Design,Direction,Displacement Rate
0.001951724,0.000911713,A,X,0.1
-0.00506112,-4.20E-05,A,X,0.1
0.001656503,0.00025177,A,X,0.1
-0.003074199,-0.00021553,A,X,0.1
0.002638191,0.000455856,A,X,0.1
-0.00448665,-0.000413895,A,X,0.1
0.004009634,0.000183105,A,X,0.1
-0.004196316,-0.000934601,A,X,0.1
0.0017443,-0.000238419,A,X,0.1
0.004639357,0.000154495,A,X,0.1
0.005294949,0.000391006,A,X,0.1
-0.001784176,0.000366211,A,X,0.1
0.001614541,0.000322342,A,X,0.1
-0.012782305,-0.001091003,A,X,0.1
0.00378111,0.000333786,A,X,0.1
0.001381129,-0.00021553,A,X,0.1
0.005874604,-0.001279831,A,X,0.1
-0.002780706,0.000694275,A,X,0.1
0.000748426,-0.001152039,A,X,0.1
0.00449875,-0.001312256,A,X,0.1
-0.000127941,0.000144959,A,X,0.1
0.000260025,-0.000946045,A,X,0.1
-0.006520003,-0.003829956,A,X,0.1
0.002125412,-0.005739212,A,X,0.1
-0.001237541,-0.010360718,A,X,0.1
0.00093165,-0.015785217,A,X,0.1
-0.000197738,-0.021299362,A,X,0.1
-0.005935341,-0.026111603,A,X,0.1
-0.000367671,-0.031476974,A,X,0.1
-0.002718598,-0.037639618,A,X,0.1
-0.001778215,-0.041561127,A,X,0.1
-0.003243178,-0.047878265,A,X,0.1
-0.007172138,-0.053689957,A,X,0.1
-0.004549176,-0.057609558,A,X,0.1
-0.001569778,-0.061878204,A,X,0.1
-0.003106564,-0.067455292,A,X,0.1
0.001151055,-0.073757172,A,X,0.1
0.000546843,-0.078744888,A,X,0.1
-0.003307194,-0.083726883,A,X,0.1
0.009282798,-0.088464737,A,X,0.1
-9.66E-05,-0.094179153,A,X,0.1
-0.002078265,-0.098812103,A,X,0.1
-0.004197925,-0.10354805,A,X,0.1
0.005774111,-0.10734367,A,X,0.1
-0.006511003,-0.11400795,A,X,0.1
0.000234276,-0.11839294,A,X,0.1
-0.001584023,-0.12416267,A,X,0.1
0.008139283,-0.12862396,A,X,0.1
-0.003391236,-0.13444519,A,X,0.1
9.57E-05,-0.13950157,A,X,0.1
0.003806502,-0.14460754,A,X,0.1
-0.001632661,-0.14900208,A,X,0.1
-0.00173673,-0.15566635,A,X,0.1
0.009196729,-0.15964127,A,X,0.1
-0.005070061,-0.1638546,A,X,0.1
0.004368335,-0.17081833,A,X,0.1
-0.006782502,-0.17541885,A,X,0.1
0.004667431,-0.17978477,A,X,0.1
-0.005407602,-0.18549347,A,X,0.1
